,parcode,trial,fix_item,fix_time
273,1,57,2,744
274,1,58,3,204
275,1,58,1,666
276,1,58,2,702
277,1,58,1,465
278,1,59,3,231
279,1,59,1,806
280,1,59,2,1130
281,1,59,1,932
282,1,59,2,521
283,1,60,3,233
284,1,60,1,500
285,1,60,2,502
286,1,61,3,275
287,1,61,1,1178
288,1,61,2,776
289,1,61,1,1054
290,1,61,2,443
291,1,62,3,232
292,1,62,1,486
293,1,62,2,1046
295,1,63,2,537
296,1,63,1,1522
297,1,63,2,1554
298,1,63,1,403
299,1,64,3,244
300,1,64,2,244
301,1,64,1,1076
302,1,64,2,490
303,1,64,0,311
304,1,65,3,234
305,1,65,1,612
306,1,65,2,737
307,1,66,3,226
308,1,66,0,178
309,1,66,1,620
310,1,66,2,860
311,1,66,1,1876
312,1,66,2,684
313,1,66,1,962
314,1,67,3,249
315,1,67,1,888
316,1,67,2,1281
317,1,68,3,244
318,1,68,1,738
319,1,68,2,436
320,1,68,1,848
321,1,68,2,1188
322,1,68,1,1744
323,1,69,3,231
324,1,69,1,606
325,1,69,2,1256
326,1,69,1,1300
327,1,69,0,180
328,1,69,2,528
329,1,70,3,232
330,1,70,1,904
331,1,70,2,1096
332,1,70,1,488
333,1,70,2,447
335,1,71,2,255
336,1,71,1,514
337,1,71,2,556
338,1,71,1,350
339,1,72,3,28
340,1,72,0,224
341,1,72,1,578
342,1,72,2,825
344,1,73,2,656
345,1,73,1,1214
347,1,74,2,560
348,1,74,1,1284
349,1,74,2,370
350,1,74,1,423
352,1,75,2,523
353,1,75,1,940
354,1,75,2,946
355,1,75,1,772
356,1,75,2,432
357,1,76,3,250
358,1,76,1,594
359,1,76,2,702
360,1,76,1,308
361,1,77,3,209
362,1,77,1,568
363,1,77,2,728
364,1,77,1,494
366,1,78,2,832
367,1,78,1,1147
369,1,79,2,257
370,1,79,1,942
371,1,79,2,678
372,1,79,1,110
374,1,80,2,637
375,1,80,1,694
376,1,80,2,448
377,1,80,1,387
378,1,81,3,9
379,1,81,0,216
380,1,81,2,342
381,1,81,1,622
382,1,81,2,732
383,1,81,1,342
384,1,82,3,227
385,1,82,1,450
386,1,82,2,814
388,1,83,2,263
389,1,83,1,488
390,1,83,2,552
391,1,83,1,394
392,1,84,3,215
393,1,84,1,448
394,1,84,2,630
395,1,84,1,542
396,1,84,2,415
398,1,85,1,479
399,1,85,2,712
400,1,85,1,826
401,1,86,3,202
402,1,86,1,568
403,1,86,2,592
404,1,86,1,350
405,1,86,2,386
406,1,87,3,214
407,1,87,1,544
408,1,87,2,590
409,1,87,1,396
411,1,88,2,36
412,1,88,0,198
413,1,88,1,754
414,1,88,2,762
415,1,88,1,252
416,1,89,3,224
417,1,89,1,560
418,1,89,2,624
419,1,89,1,691
420,1,90,3,206
421,1,90,1,522
422,1,90,2,874
423,1,90,1,948
424,1,90,0,232
425,1,90,2,790
426,1,90,1,768
427,1,91,3,68
428,1,91,1,690
429,1,91,2,1327
430,1,92,3,29
431,1,92,0,202
432,1,92,1,652
433,1,92,2,956
434,1,92,1,510
435,1,92,2,406
436,1,93,3,198
437,1,93,1,566
438,1,93,2,1010
439,1,93,1,491
440,1,94,3,241
441,1,94,1,602
442,1,94,2,1023
444,1,95,2,205
445,1,95,1,962
446,1,95,2,542
447,1,95,1,457
448,1,96,3,221
449,1,96,1,596
450,1,96,2,736
451,1,96,1,1204
452,1,96,2,896
453,1,96,1,656
454,1,96,2,519
455,1,97,3,240
456,1,97,1,584
457,1,97,0,114
458,1,97,2,912
459,1,97,1,526
460,1,98,3,208
461,1,98,1,770
462,1,98,2,708
463,1,98,1,420
464,1,99,3,236
465,1,99,1,726
466,1,99,2,686
467,1,99,1,680
468,1,100,3,188
469,1,100,1,560
470,1,100,2,588
471,1,100,1,552
472,1,100,2,950
473,1,100,1,750
474,1,100,2,420
475,1,100,1,566
476,1,101,3,31
477,1,101,2,280
478,1,101,1,712
479,1,101,2,685
480,1,102,3,232
481,1,102,1,580
482,1,102,2,927
483,1,103,3,233
484,1,103,1,654
485,1,103,2,579
486,1,104,3,358
487,1,104,1,490
488,1,104,2,496
489,1,104,1,744
490,1,104,2,880
491,1,104,1,1464
492,1,105,3,195
493,1,105,1,588
494,1,105,2,976
496,1,106,2,223
497,1,106,1,490
498,1,106,2,820
499,1,107,3,172
500,1,107,1,418
501,1,107,2,700
502,1,107,1,266
503,1,108,3,2
504,1,108,0,238
505,1,108,1,494
506,1,108,2,572
507,1,108,1,239
509,1,109,2,476
510,1,109,1,430
511,1,109,2,385
512,1,110,3,210
513,1,110,1,518
514,1,110,2,816
515,1,111,3,210
516,1,111,1,598
517,1,111,2,810
518,1,111,1,1096
519,1,111,2,1258
520,1,111,1,218
522,1,112,2,303
523,1,112,1,636
524,1,112,2,773
525,1,113,3,217
526,1,113,1,606
527,1,113,2,708
528,1,113,1,766
529,1,113,2,661
530,1,114,3,221
531,1,114,1,524
532,1,114,2,476
533,1,114,1,397
535,1,115,2,448
536,1,115,1,1026
537,1,116,3,208
538,1,116,1,564
539,1,116,2,608
540,1,116,1,335
542,1,117,2,536
543,1,117,1,688
544,1,117,2,595
545,1,118,3,2
546,1,118,1,764
547,1,118,2,688
548,1,119,3,226
