,parcode,trial,rt,choice,item_left,item_right
142,2,22,3314,-1,2.0,5.0
143,2,23,3086,1,0.0,0.0
144,2,24,2393,1,5.0,5.0
145,2,25,2560,1,0.0,0.0
146,2,26,3130,-1,5.0,2.0
147,2,27,4404,-1,5.0,5.0
148,2,28,1777,-1,5.0,0.0
149,2,29,2386,-1,5.0,2.0
150,2,30,2762,-1,5.0,2.0
151,2,31,1868,-1,5.0,0.0
152,2,32,2631,-1,5.0,5.0
153,2,33,3073,-1,5.0,5.0
154,2,34,2059,1,0.0,2.0
155,2,35,1611,1,0.0,5.0
156,2,36,1721,-1,5.0,0.0
157,2,37,2535,1,0.0,0.0
158,2,38,2177,1,5.0,5.0
159,2,39,2577,1,0.0,5.0
160,2,40,2362,1,0.0,5.0
161,2,41,1504,1,0.0,0.0
162,2,42,1769,-1,5.0,0.0
163,2,43,1998,1,2.0,0.0
164,2,44,1194,1,2.0,5.0
165,2,45,1135,1,0.0,5.0
166,2,46,1716,-1,5.0,5.0
167,2,47,1320,-1,5.0,5.0
168,2,48,1241,1,0.0,5.0
169,2,49,1278,1,5.0,5.0
170,2,50,1160,-1,2.0,0.0
171,2,51,1596,-1,0.0,2.0
172,2,52,1158,-1,5.0,0.0
173,2,53,1504,1,5.0,5.0
174,2,54,1069,1,0.0,5.0
175,2,55,1009,1,0.0,5.0
176,2,56,1124,1,5.0,5.0
177,2,57,1174,-1,5.0,0.0
178,2,58,1020,-1,5.0,0.0
179,2,59,1150,1,0.0,2.0
180,2,60,1254,-1,5.0,5.0
181,2,61,1898,-1,5.0,0.0
182,2,62,1184,1,0.0,2.0
183,2,63,1012,-1,5.0,0.0
184,2,64,2056,-1,2.0,5.0
185,2,65,1025,-1,0.0,0.0
186,2,66,1123,1,2.0,5.0
187,2,67,1224,1,0.0,0.0
188,2,68,1927,-1,5.0,0.0
189,2,69,1103,-1,5.0,5.0
190,2,70,1177,1,0.0,5.0
191,2,71,1173,1,5.0,5.0
192,2,72,1127,1,2.0,2.0
193,2,73,1540,1,0.0,0.0
194,2,74,1574,1,2.0,5.0
