,parcode,rt,choice,trial,item_left,item_right
2210,22,2525,1,50,-0.26726124191242456,-0.267261241912424
2211,22,2899,1,51,-0.26726124191242456,1.8243484774022023
2212,22,2027,1,52,-0.26726124191242456,1.3014460475735452
2213,22,1536,1,53,0.2556411879162316,1.3014460475735452
2214,22,2356,1,54,0.2556411879162316,-0.7901636717410806
2215,22,1644,1,55,1.8243484774022,-0.267261241912424
2216,22,1708,-1,56,-0.7901636717410807,0.7785436177448891
2217,22,2085,-1,57,0.2556411879162316,-1.313066101569737
2218,22,1578,-1,58,1.8243484774022,-0.267261241912424
2219,22,1910,-1,59,-0.7901636717410807,-0.267261241912424
2220,22,1469,-1,60,-0.7901636717410807,-0.267261241912424
2221,22,3235,1,61,-0.26726124191242456,0.2556411879162325
2222,22,2905,1,62,2.8701533370595116,-0.267261241912424
2223,22,2275,-1,63,-0.26726124191242456,-2.010269341341279
2224,22,1493,1,64,-0.7901636717410807,0.2556411879162325
2225,22,2797,-1,65,-0.26726124191242456,2.3472509072308583
2226,22,4786,-1,66,0.2556411879162316,-0.7901636717410806
2227,22,2506,1,67,-0.7901636717410807,-1.313066101569737
2228,22,3871,1,68,-0.7901636717410807,-0.267261241912424
2229,22,3057,1,69,-1.3130661015697367,-0.267261241912424
2230,22,2281,-1,70,-1.3130661015697367,-0.267261241912424
2231,22,2302,-1,71,-0.26726124191242456,0.7785436177448891
2232,22,1903,1,72,2.3472509072308556,-0.7901636717410806
2233,22,2072,1,73,-0.7901636717410807,1.3014460475735452
2234,22,2793,-1,74,1.3014460475735434,0.7785436177448891
2235,22,1837,1,75,-0.7901636717410807,0.2556411879162325
2236,22,2656,1,76,-1.8359685313983927,0.2556411879162325
2237,22,9979,-1,77,-1.3130661015697367,-0.7901636717410806
2238,22,3219,1,78,-0.7901636717410807,-0.267261241912424
2239,22,5373,1,79,0.7785436177448878,0.2556411879162325
2240,22,4082,-1,80,-0.26726124191242456,-1.313066101569737
2241,22,2163,-1,81,1.8243484774022,0.2556411879162325
2242,22,2184,-1,82,-0.26726124191242456,-1.313066101569737
2243,22,3654,-1,83,-0.26726124191242456,-0.7901636717410806
2244,22,2203,1,84,-0.7901636717410807,-1.8359685313983933
2245,22,2279,1,85,0.7785436177448878,-0.7901636717410806
2246,22,2094,-1,86,1.3014460475735434,-0.267261241912424
2247,22,1669,1,87,1.8243484774022,0.2556411879162325
2248,22,1528,1,88,0.2556411879162316,-0.7901636717410806
2249,22,2125,-1,89,-0.7901636717410807,-0.267261241912424
2250,22,1882,1,90,0.2556411879162316,0.7785436177448891
2251,22,4247,-1,91,1.3014460475735434,-0.267261241912424
2252,22,3677,1,92,-2.010269341341278,-0.267261241912424
2253,22,4463,-1,93,0.2556411879162316,0.2556411879162325
2254,22,1515,-1,94,-0.26726124191242456,1.8243484774022023
2255,22,1873,1,95,-0.7901636717410807,0.2556411879162325
2256,22,1803,1,96,0.7785436177448878,1.3014460475735452
2257,22,2140,-1,97,0.2556411879162316,0.7785436177448891
2258,22,2202,-1,98,0.7785436177448878,1.3014460475735452
2259,22,1730,1,99,-0.7901636717410807,0.2556411879162325
2260,22,2233,1,100,-0.26726124191242456,-0.267261241912424
2261,22,1721,-1,101,-0.7901636717410807,2.3472509072308583
2262,22,2022,1,102,0.2556411879162316,0.2556411879162325
2263,22,4752,-1,103,1.3014460475735434,-0.7901636717410806
2264,22,2086,1,104,-1.3130661015697367,0.7785436177448891
2265,22,1654,-1,105,0.2556411879162316,-0.267261241912424
2266,22,1820,-1,106,-0.26726124191242456,2.8701533370595147
2267,22,2117,-1,107,0.7785436177448878,-1.313066101569737
2268,22,5365,1,108,1.3014460475735434,-2.010269341341279
2269,22,2423,-1,109,-0.26726124191242456,-0.7901636717410806
2270,22,2918,1,110,-0.26726124191242456,-0.7901636717410806
2271,22,2160,1,111,0.7785436177448878,0.2556411879162325
2272,22,2741,-1,112,-1.3130661015697367,-0.7901636717410806
2273,22,3160,-1,113,-1.3130661015697367,0.2556411879162325
2274,22,7142,1,114,-0.26726124191242456,-1.313066101569737
2275,22,1417,1,115,-0.26726124191242456,1.3014460475735452
2276,22,2151,1,116,-0.26726124191242456,-0.7901636717410806
2277,22,2336,1,117,-0.26726124191242456,0.7785436177448891
2278,22,1830,-1,118,0.7785436177448878,-0.7901636717410806
2279,22,3016,-1,119,-0.26726124191242456,-0.267261241912424
2280,23,2332,-1,0,-0.6007044523039072,-0.6007044523039066
2281,23,1728,1,1,-0.6007044523039072,2.1416419603878385
2282,23,1884,-1,2,-0.20894067906222935,-0.6007044523039066
2283,23,2489,-1,3,-0.6007044523039072,-0.6007044523039066
2284,23,1757,-1,4,2.533405733629513,0.9663506406628051
2285,23,1703,1,5,1.7498781871461582,-0.6007044523039066
2286,23,1493,1,6,0.9663506406628031,-0.6007044523039066
2287,23,1569,1,7,-0.6007044523039072,-0.6007044523039066
2288,23,1847,1,8,0.9663506406628031,2.1416419603878385
2289,23,3753,-1,9,0.9663506406628031,-0.20894067906222838
2290,23,1403,-1,10,2.533405733629513,-0.9924682255455841
2291,23,2108,-1,11,-0.6007044523039072,-0.20894067906222838
2292,23,1887,1,12,-0.6007044523039072,0.9663506406628051
2293,23,2060,1,13,-0.6007044523039072,-0.6007044523039066
2294,23,1800,-1,14,-0.6007044523039072,-0.20894067906222838
2295,23,1327,-1,15,2.1416419603878354,-1.384231998787262
2296,23,1502,-1,16,-0.6007044523039072,-0.6007044523039066
2297,23,1114,-1,17,-0.6007044523039072,0.5745868674211269
2298,23,1230,-1,18,2.1416419603878354,0.9663506406628051
2299,23,1774,1,19,-0.6007044523039072,0.18282309417944925
2300,23,2306,-1,20,-0.6007044523039072,-0.6007044523039066
2301,23,1324,-1,21,0.9663506406628031,-0.6007044523039066
2302,23,2261,1,22,-0.6007044523039072,-0.6007044523039066
2303,23,1877,-1,23,-0.6007044523039072,-0.6007044523039066
2304,23,1773,1,24,0.9663506406628031,-0.6007044523039066
2305,23,1635,-1,25,-0.6007044523039072,2.1416419603878385
2306,23,1422,1,26,2.1416419603878354,-0.6007044523039066
2307,23,1797,1,27,-0.20894067906222935,0.5745868674211269
2308,23,1751,1,28,-0.6007044523039072,2.1416419603878385
2309,23,2013,1,29,-0.20894067906222935,-0.20894067906222838
2310,23,1426,-1,30,-0.6007044523039072,-0.6007044523039066
