,parcode,trial,rt,choice,item_left,item_right
142,2,22,6446,-1,5.0,5.0
143,2,23,4541,1,2.0,2.0
144,2,24,3991,-1,0.0,5.0
145,2,25,4235,-1,5.0,5.0
146,2,26,5489,1,5.0,5.0
147,2,27,6380,-1,5.0,5.0
148,2,28,3385,1,5.0,0.0
149,2,29,4479,1,5.0,5.0
150,2,30,3546,-1,0.0,5.0
151,2,31,3266,1,5.0,0.0
152,2,32,2267,1,0.0,0.0
153,2,33,3808,-1,0.0,2.0
154,2,34,4033,-1,5.0,2.0
155,2,35,3093,-1,0.0,5.0
156,2,36,3486,1,0.0,2.0
157,2,37,5401,-1,0.0,5.0
158,2,38,2833,-1,5.0,0.0
159,2,39,1746,-1,0.0,5.0
160,2,40,2741,1,5.0,0.0
161,2,41,2186,-1,0.0,5.0
162,2,42,2803,-1,0.0,0.0
163,2,43,1702,-1,0.0,2.0
164,2,44,2152,-1,0.0,0.0
165,2,45,1414,1,0.0,5.0
166,2,46,1979,1,5.0,2.0
167,2,47,1929,1,5.0,2.0
168,2,48,1618,-1,0.0,5.0
169,2,49,1534,-1,0.0,0.0
170,2,50,1384,-1,2.0,5.0
171,2,51,1343,1,0.0,0.0
172,2,52,1683,1,0.0,0.0
173,2,53,2062,1,5.0,0.0
174,2,54,1539,1,5.0,5.0
175,2,55,1601,1,5.0,5.0
176,2,56,1858,-1,0.0,0.0
177,2,57,1467,1,5.0,5.0
178,2,58,1867,-1,5.0,5.0
179,2,59,1450,-1,0.0,5.0
180,2,60,2378,-1,5.0,5.0
181,2,61,2138,1,2.0,5.0
182,2,62,1414,-1,0.0,0.0
183,2,63,1971,-1,5.0,2.0
184,2,64,1983,1,5.0,0.0
185,2,65,2258,1,5.0,0.0
186,2,66,1400,1,5.0,0.0
187,2,67,1192,1,5.0,0.0
188,2,68,1291,1,5.0,0.0
189,2,69,1035,1,2.0,0.0
190,2,70,2068,1,0.0,5.0
191,2,71,1164,1,5.0,0.0
192,2,72,1482,-1,5.0,5.0
193,2,73,1122,1,2.0,0.0
194,2,74,1763,1,0.0,0.0
195,2,75,2008,1,5.0,2.0
196,2,76,1831,1,0.0,5.0
197,2,77,2109,-1,2.0,5.0
198,2,78,1709,1,5.0,5.0
199,2,79,1236,-1,5.0,5.0
200,2,80,1524,1,0.0,0.0
201,2,81,1581,1,5.0,5.0
202,2,82,1901,1,0.0,0.0
203,2,83,1353,-1,2.0,5.0
204,2,84,1977,1,2.0,0.0
205,2,85,2311,-1,5.0,5.0
206,2,86,4034,1,2.0,0.0
207,2,87,4496,-1,0.0,5.0
208,2,88,3360,1,5.0,0.0
209,2,89,2518,1,0.0,0.0
210,2,90,2633,-1,5.0,0.0
211,2,91,1823,-1,0.0,0.0
212,2,92,1877,-1,2.0,5.0
213,2,93,1594,-1,0.0,0.0
214,2,94,1612,-1,2.0,5.0
215,2,95,1802,-1,0.0,5.0
216,2,96,1411,-1,0.0,5.0
217,2,97,1388,-1,0.0,5.0
218,2,98,1358,1,0.0,2.0
219,2,99,1781,-1,5.0,0.0
220,2,100,1297,-1,5.0,5.0
221,2,101,1113,-1,0.0,5.0
222,2,102,2545,-1,5.0,0.0
223,2,103,1569,-1,2.0,0.0
224,2,104,2018,-1,5.0,5.0
225,2,105,1145,1,5.0,0.0
226,2,106,1527,-1,0.0,2.0
227,2,107,1212,1,5.0,5.0
228,2,108,1160,1,5.0,5.0
229,2,109,1098,1,5.0,5.0
230,2,110,1057,-1,0.0,5.0
231,2,111,838,1,5.0,0.0
232,2,112,1373,-1,5.0,5.0
233,2,113,1476,-1,0.0,2.0
234,2,114,1187,-1,0.0,5.0
235,2,115,1047,1,2.0,5.0
236,2,116,1063,1,5.0,0.0
237,2,117,861,-1,2.0,2.0
238,2,118,1220,-1,0.0,2.0
239,2,119,757,1,5.0,0.0
240,3,0,4203,-1,2.0,4.0
241,3,1,4734,1,4.0,3.0
242,3,2,4187,-1,2.0,4.0
243,3,3,2945,-1,1.0,1.0
244,3,4,3554,1,4.0,2.0
245,3,5,5791,1,2.0,2.0
246,3,6,630,-1,2.0,3.0
247,3,7,3815,-1,2.0,3.0
248,3,8,5328,1,2.0,1.0
249,3,9,6404,-1,4.0,3.0
250,3,10,2052,-1,1.0,4.0
251,3,11,5112,1,3.0,3.0
252,3,12,2769,-1,3.0,4.0
253,3,13,3526,-1,4.0,3.0
254,3,14,6337,1,3.0,2.0
255,3,15,2655,-1,2.0,4.0
256,3,16,2385,1,2.0,2.0
257,3,17,1899,1,2.0,2.0
