,parcode,trial,fix_item,fix_time
274,1,56,2,718
275,1,56,1,1154
276,1,56,2,750
277,1,56,1,1570
278,1,56,2,844
280,1,57,1,877
281,1,57,2,796
282,1,57,1,847
283,1,58,3,252
284,1,58,1,640
285,1,58,2,869
286,1,59,3,220
287,1,59,1,598
288,1,59,2,1775
289,1,60,3,248
290,1,60,1,578
291,1,60,2,1268
292,1,60,1,3108
293,1,60,2,570
294,1,61,3,57
295,1,61,1,660
296,1,61,2,818
297,1,61,1,410
298,1,62,3,187
299,1,62,1,574
300,1,62,2,860
301,1,63,3,213
302,1,63,1,530
303,1,63,2,948
304,1,63,1,822
305,1,63,2,439
306,1,64,3,260
307,1,64,1,618
308,1,64,2,756
309,1,64,1,1091
310,1,65,3,242
311,1,65,1,710
312,1,65,2,792
313,1,65,1,847
314,1,66,3,232
315,1,66,1,640
316,1,66,2,1450
317,1,66,1,760
318,1,66,2,441
319,1,67,3,247
320,1,67,1,532
321,1,67,2,824
322,1,67,1,616
323,1,67,2,786
324,1,67,1,1734
325,1,67,2,1560
326,1,67,1,783
327,1,68,3,241
328,1,68,1,1034
329,1,68,2,1400
330,1,68,0,248
331,1,68,1,518
332,1,68,2,625
333,1,69,3,60
334,1,69,0,198
335,1,69,1,722
336,1,69,2,630
337,1,69,1,992
338,1,70,3,249
339,1,70,1,650
340,1,70,2,866
341,1,70,0,390
342,1,70,1,524
343,1,70,2,560
344,1,71,3,256
345,1,71,1,568
346,1,71,2,662
347,1,71,1,457
348,1,72,3,261
349,1,72,1,712
350,1,72,2,646
351,1,72,1,902
352,1,72,2,540
353,1,72,1,566
354,1,73,3,39
355,1,73,0,212
356,1,73,1,562
357,1,73,2,720
358,1,73,1,1374
359,1,73,2,1046
360,1,73,1,982
361,1,73,2,828
362,1,73,1,482
363,1,74,3,239
364,1,74,1,1612
365,1,74,2,1008
366,1,74,1,1160
367,1,74,2,555
368,1,75,3,195
369,1,75,1,740
370,1,75,2,938
371,1,75,1,1522
372,1,75,2,932
374,1,76,2,472
375,1,76,1,1314
376,1,76,2,1158
377,1,76,1,1170
378,1,76,2,866
379,1,76,1,1267
380,1,77,3,250
381,1,77,1,546
382,1,77,2,868
383,1,77,1,689
384,1,78,3,231
385,1,78,1,628
386,1,78,2,886
387,1,78,1,1156
388,1,78,2,596
389,1,78,1,292
390,1,78,0,240
391,1,78,1,729
392,1,79,3,232
393,1,79,1,636
394,1,79,2,736
395,1,79,1,1111
396,1,80,3,215
397,1,80,1,674
398,1,80,2,372
399,1,80,1,312
400,1,81,3,272
401,1,81,1,614
402,1,81,2,826
403,1,82,3,246
404,1,82,1,614
405,1,82,2,798
406,1,82,1,382
407,1,83,3,202
408,1,83,1,554
409,1,83,2,806
410,1,83,1,356
411,1,83,2,454
412,1,84,3,211
413,1,84,1,594
414,1,84,2,838
415,1,84,1,786
416,1,84,2,1120
417,1,84,1,636
418,1,85,3,235
419,1,85,1,562
420,1,85,2,1222
421,1,85,1,874
422,1,85,2,536
423,1,86,3,275
424,1,86,1,602
425,1,86,2,764
426,1,86,1,403
427,1,87,3,28
428,1,87,0,196
429,1,87,1,532
430,1,87,2,706
431,1,87,1,624
432,1,87,2,456
433,1,88,3,214
434,1,88,1,586
435,1,88,2,776
436,1,89,3,237
437,1,89,1,648
438,1,89,2,1118
439,1,89,1,494
440,1,90,3,218
441,1,90,1,482
442,1,90,2,712
443,1,90,1,374
444,1,90,2,725
445,1,91,3,191
446,1,91,1,560
447,1,91,2,813
448,1,92,3,241
449,1,92,1,564
450,1,92,2,811
451,1,93,3,232
452,1,93,1,540
453,1,93,2,694
454,1,93,1,900
455,1,93,2,621
456,1,94,3,211
457,1,94,1,696
458,1,94,2,730
459,1,94,1,842
460,1,94,2,780
461,1,94,1,366
462,1,95,3,205
463,1,95,1,720
464,1,95,2,1008
465,1,95,1,293
466,1,96,3,244
467,1,96,1,590
468,1,96,2,906
469,1,96,1,439
470,1,97,3,191
471,1,97,1,680
472,1,97,2,612
473,1,97,1,364
474,1,98,3,44
475,1,98,0,216
476,1,98,1,792
477,1,98,2,517
478,1,99,3,360
479,1,99,2,296
480,1,99,1,930
481,1,99,2,404
482,1,99,1,381
484,1,100,2,247
485,1,100,1,672
486,1,100,2,1150
487,1,100,1,413
488,1,101,3,224
489,1,101,1,782
490,1,101,2,998
491,1,101,1,743
492,1,102,3,250
493,1,102,1,584
494,1,102,2,1092
495,1,102,1,478
496,1,102,2,514
498,1,103,2,445
499,1,103,1,846
500,1,103,2,678
501,1,103,1,844
502,1,103,2,893
503,1,104,3,233
504,1,104,1,542
505,1,104,2,1466
506,1,104,1,848
507,1,104,2,536
509,1,105,2,441
510,1,105,1,702
511,1,105,2,556
512,1,105,1,576
513,1,105,2,1208
514,1,105,1,455
516,1,106,2,1373
517,1,106,1,956
518,1,107,3,232
519,1,107,1,544
520,1,107,2,882
521,1,107,1,370
522,1,108,3,201
523,1,108,1,492
524,1,108,2,972
525,1,109,3,249
526,1,109,1,552
527,1,109,2,779
529,1,110,1,483
530,1,110,2,988
531,1,110,1,1104
532,1,110,2,1132
533,1,110,1,482
534,1,111,3,226
535,1,111,1,618
536,1,111,2,488
537,1,111,1,834
538,1,111,2,460
539,1,112,3,352
540,1,112,2,428
541,1,112,1,834
542,1,112,2,756
543,1,112,1,834
544,1,112,2,579
545,1,113,3,201
546,1,113,1,622
547,1,113,2,742
548,1,113,1,902
549,1,113,2,453
550,1,114,3,207
551,1,114,1,1466
552,1,114,2,1256
553,1,114,1,922
554,1,114,2,992
556,1,115,2,608
557,1,115,1,848
558,1,115,2,318
559,1,115,1,534
560,1,115,2,542
561,1,115,1,1100
562,1,115,2,1100
563,1,115,1,225
564,1,116,3,221
565,1,116,1,746
566,1,116,2,1058
567,1,116,1,1308
568,1,116,2,1228
569,1,116,1,668
570,1,116,2,401
571,1,117,3,206
572,1,117,1,468
573,1,117,2,692
574,1,117,1,505
575,1,118,3,264
576,1,118,1,490
577,1,118,2,644
578,1,118,1,1056
579,1,118,2,622
580,1,118,1,568
581,1,118,2,529
582,1,119,3,247
583,1,119,1,712
584,1,119,2,674
585,1,119,1,578
586,1,119,2,617
588,2,0,2,201
589,2,0,0,324
590,2,0,2,254
591,2,0,0,266
592,2,0,2,672
593,2,0,0,94
594,2,0,2,722
595,2,0,0,254
596,2,0,2,198
597,2,0,1,1975
599,2,1,2,399
600,2,1,0,494
601,2,1,2,3304
602,2,1,1,1618
603,2,1,2,623
605,2,2,2,1503
606,2,2,0,418
607,2,2,1,2224
608,2,2,2,980
610,2,3,2,132
611,2,3,1,202
612,2,3,0,186
613,2,3,1,1136
614,2,3,2,1488
615,2,3,0,220
616,2,3,2,818
617,2,3,1,86
618,2,4,3,229
619,2,4,0,552
620,2,4,1,2048
621,2,4,2,1897
623,2,5,2,3055
624,2,5,1,1400
625,2,5,0,824
626,2,5,2,113
628,2,6,2,2013
629,2,6,1,1458
631,2,7,2,2316
632,2,7,1,938
633,2,7,0,138
634,2,7,1,907
636,2,8,2,2376
637,2,8,1,1923
639,2,9,2,3060
640,2,9,1,1028
641,2,10,3,372
642,2,10,2,1262
643,2,10,1,1513
