,predictors,tvals,pvals,betas,se,ci0,ci1,df,n,r2
const,const,1.946987929844907,0.061279215326596324,0.12411150286605196,0.06374538894852749,-0.006262456160754881,0.2544854618928588,29.0,31.0,0.4025869660994579
glam_full_D,glam_full_D,4.4207047211176125,0.0001263845473984401,0.6409576917895945,0.1449899353665838,0.3444199781669526,0.9374954054122364,29.0,31.0,0.4025869660994579
