,predictors,tvals,pvals,betas,se,ci0,ci1,df,n,r2
const,const,-1.8673335149900887,0.0719929686244836,-507.3552112642195,271.7003723177498,-1063.044866506973,48.33444397853407,29.0,31.0,0.8690408652048056
glam_full,glam_full,13.872387125861149,2.4766178844552385e-14,1.2503994117719524,0.0901358504796147,1.0660508985522033,1.4347479249917015,29.0,31.0,0.8690408652048056
