,betas,ci0,ci1,df,n,predictors,pvals,r2,se,tvals
const,-0.008754241785816033,-0.15603786391539914,0.1385293803437671,31.0,33.0,const,0.9042955322910915,0.5230942214093849,0.07221507776269719,-0.12122457050566317
glam_full,0.9963491367453607,0.6478645245213474,1.344833748969374,31.0,33.0,glam_full,1.985483030661729e-06,0.5230942214093849,0.1708665431158332,5.83115406080358
