,predictors,tvals,pvals,betas,se,ci0,ci1,df,n,r2
const,const,2.7952373875301064,0.009102983279053943,679.1792850314835,242.97731851376372,182.23487084121473,1176.1236992217523,29.0,31.0,0.7889379061544206
glam_full_D,glam_full_D,10.41154760965279,2.6227046907742518e-11,0.7964743454854621,0.07649913109430842,0.6400160549739871,0.9529326359969372,29.0,31.0,0.7889379061544206
