,predictors,tvals,pvals,betas,se,ci0,ci1,df,n,r2
const,const,1.418792687405562,0.1666182211012662,0.11934279576514223,0.08411573926517432,-0.05269320754989801,0.2913787990801825,29.0,31.0,0.625186161038447
glam_full_D,glam_full_D,6.954979722762281,1.2057824314697834e-07,0.8459561620466332,0.12163316009074548,0.597188417562768,1.0947239065304983,29.0,31.0,0.625186161038447
