,betas,ci0,ci1,df,n,predictors,pvals,r2,se,tvals
const,-232.5930748290882,-782.4600733805785,317.27392372240206,31.0,33.0,const,0.3949213088308815,0.8389781488097646,269.60694940405705,-0.862711719201657
glam_nobias,1.1356389385009729,0.9533950036127458,1.3178828733892,31.0,33.0,glam_nobias,7.854242321606693e-14,0.8389781488097646,0.08935657433895901,12.70906977916498
