,LVal,RVal,AbsDVal,TotVal,AbsDEv,RTsim,Correct_sim,Choice_sim,Conf_human,zConf_human
3112,0.5,0.0,0.5,0.5,0.5102902986166449,3893.0,0,1.0,96,1.0213934191273164
3113,2.15,2.75,0.6000000000000001,4.9,0.4061082146409666,1461.0,1,1.0,88,0.7319785187842751
3114,0.0,2.3,2.3,2.3,0.45302781388654967,1329.0,1,1.0,74,0.22550244318395304
3115,0.5,2.15,1.65,2.65,1.045018918408296,1179.0,1,1.0,98,1.0937471442130766
3116,1.4,0.0,1.4,1.4,0.5402851022755735,2975.0,1,0.0,92,0.8766859689557958
3117,0.0,0.0,0.0,0.0,0.5921388546805632,2068.0,0,0.0,24,-1.5833406839600546
3118,0.05,0.35,0.3,0.39999999999999997,0.21653196258487695,3163.0,0,0.0,68,0.00844126792667207
3119,0.5,0.35,0.15000000000000002,0.85,0.14550021557103499,2593.0,0,1.0,94,0.949039694041556
3120,0.95,0.0,0.95,0.95,1.0760837274266166,1771.0,1,0.0,84,0.5872710686127545
3121,1.1,0.0,1.1,1.1,0.21969518374253627,1856.0,0,1.0,94,0.949039694041556
3122,0.95,0.5,0.44999999999999996,1.45,0.5971446391981983,2062.0,1,0.0,92,0.8766859689557958
3123,2.3,0.0,2.3,2.3,1.0884671321718642,1222.0,1,0.0,38,-1.0768646083597324
3124,0.5,2.6,2.1,3.1,0.9573862000246527,2223.0,1,1.0,34,-1.2215720585312528
3125,2.0,0.05,1.95,2.05,1.2004431637573343,1291.0,1,0.0,94,0.949039694041556
3126,1.1,0.2,0.9000000000000001,1.3,0.7666536059079627,4894.0,0,1.0,58,-0.35332735750212946
3127,1.25,0.35,0.9,1.6,0.6856859286949313,1977.0,0,1.0,42,-0.932157158188212
3128,2.75,2.15,0.6000000000000001,4.9,1.7885766214693197,2097.0,0,1.0,46,-0.7874497080166912
3129,0.05,0.2,0.15000000000000002,0.25,0.2993307083773774,1838.0,0,0.0,34,-1.2215720585312528
3130,0.65,0.0,0.65,0.65,1.3871094481335455,1392.0,1,0.0,74,0.22550244318395304
3131,0.0,1.4,1.4,1.4,0.6792369056107479,1219.0,1,1.0,16,-1.872755584303096
3132,0.2,1.95,1.75,2.15,1.0137803951973239,1506.0,1,1.0,100,1.1661008692988368
