,Part,TrialN,PairID,LItem,LVal,RItem,RVal,Choice,RT,Conf,ConfRT,BlockCond,DDT,LDwellTime,RDwellTime,GSF,LastFixat,DVal,zDVal,AbsDVal,zAbsDVal,zConf,zRT,DFam,LFam,RFam,TotFam,TotVal,ChosenFam,UnchosenFam,ChosenVal,UnchosenVal,Correct,LValConfBDM,LFamConfBDM,RValConfBDM,RFamConfBDM,zDFam,zTotFam,zTotVal,zChosenVal,zUnchosenVal,zChosenFam,zUnchosenFam,zGSF,zDDT,zAbsDDT,zAbsDFam,zLVal,zRVal,zLFam,zRFam,zLValConfBDM,zLFamConfBDM,zRValConfBDM,zRFamConfBDM,ConfSplit,GSFSplit,DDTSplit,AbsDEv,RTsim
3021,15,142,44,35_mms_plain.png,2.0,104_graze_sriracha.png,1.1,1,2356,86,5064,2.0,657,460,1117,0,2,-0.8999999999999999,-1.5472842886653817,0.8999999999999999,1.18915536702785,-0.14134661289086753,-0.35512652039648906,-4.67,5.0,0.33,5.33,3.1,0.33,5.0,1.1,2.0,1,100.0,100.0,91.67,96.67,-1.768846761340266,-0.8935469380731029,1.0961578493263773,-0.3453263619079001,1.9102877025693568,-1.9592511479642751,0.6615273307427839,-1.46394894809206,0.6286183477629276,0.6286183477629276,1.768846761340266,1.8616233962006008,-0.2772630590085971,0.6307308578161401,-1.886443139621318,0.4901733718962258,0.40679715588414217,-0.7251686822446618,0.07491446194519774,0,0,1,1.1717242508298364,2654.75
3022,15,143,52,52_discos_salt_vinegar.png,1.25,15_jacobs_mini_cheddars.png,0.95,0,3163,80,2975,2.0,990,976,1966,2,2,-0.30000000000000004,-0.5157614295551274,0.30000000000000004,-0.2769265923215544,-0.6146934095486551,0.0739496147899864,0.0,4.83,4.83,9.66,2.2,4.83,4.83,1.25,0.95,0,91.67,100.0,91.67,96.67,1.6820680098274972e-17,0.7672306732546407,-0.3836552472642352,0.015537180289035566,-0.5653744267568324,0.506996596506937,0.571216432347864,-0.19094986279461645,1.039243599938796,1.039243599938796,1.6820680098274972e-17,0.07921801685960027,-0.6337441348767976,0.5390992561963611,0.5390992561963616,-0.7251686822446506,0.40679715588414217,-0.7251686822446618,0.07491446194519774,0,0,1,0.6072697475385268,1772.0
3023,15,144,34,19_pistachios.png,1.55,41_jelly_babies_berry_mix.png,0.8,0,2523,98,2313,2.0,97,1090,1187,3,1,-0.75,-1.2894035738878182,0.75,0.8226348771904989,0.8053469804247078,-0.2663338133628566,-4.83,4.83,0.0,4.83,2.35,4.83,0.0,1.55,0.8,0,100.0,96.67,96.67,96.67,-1.8294496482384337,-1.0853226437691472,-0.1370197311657999,0.7372642646829074,-0.919040445232002,0.506996596506937,-1.9946755632254511,0.4455496798541054,-0.06192261685715176,0.06192261685715176,1.8294496482384337,0.7921801685960005,-0.9902252107449976,0.5390992561963611,-2.0643162486479483,0.4901733718962258,0.07491446194520049,0.004328349052383829,0.07491446194519774,1,1,0,0.6066812376773407,3250.25
3024,15,145,14,54_milkyway_magic_stars.png,0.95,18_galaxy_bar.png,1.4,0,1712,100,5350,2.0,100,702,802,2,2,0.45,0.7736421443326909,0.45,0.08959389751579656,0.9631292459773036,-0.6975367199752873,4.25,0.58,4.83,5.41,2.35,0.58,4.83,0.95,1.4,1,95.0,100.0,96.67,96.67,1.6097641832325762,-0.8628628251617358,-0.1370197311657999,-0.7061899041048363,0.4956236286686772,-1.8222373843825408,0.571216432347864,-0.19094986279461645,-0.058223290260972775,0.058223290260972775,1.6097641832325762,-0.6337441348768,0.4356990927278029,-1.7516907842981142,0.5390992561963616,-0.23932365940081904,0.40679715588414217,0.004328349052383829,0.07491446194519774,1,0,0,0.6632928958398994,3123.25
3025,15,146,49,53_eat_natural_almond_apricot.png,1.4,102_propercorn_worcester.png,0.8,0,3851,86,1556,2.0,-124,1816,1692,3,1,-0.5999999999999999,-1.0315228591102543,0.5999999999999999,0.4561143873531474,-0.14134661289086753,0.4397543000542926,-4.25,4.58,0.33,4.91,2.2,4.58,0.33,1.4,0.8,0,91.67,96.67,96.67,91.67,-1.6097641832325762,-1.05463853085778,-0.3836552472642352,0.3764007224859712,-0.919040445232002,0.36998283292520295,-1.819366172223548,0.4455496798541054,-0.3344396761090045,0.3344396761090045,1.6097641832325762,0.4356990927278001,-0.9902252107449976,0.4043469008731567,-1.886443139621318,-0.7251686822446506,0.07491446194520049,0.004328349052383829,-0.4234079013264873,0,1,0,0.3458099563344673,2777.5
3026,15,147,58,107_graze_scream.png,0.95,23_kp_grazing_mix.png,0.95,0,3017,80,1954,2.0,-8,1304,1296,3,1,0.0,-3.1811678572538222e-18,0.0,-1.0099675719962566,-0.6146934095486551,-0.0036775422573809046,0.0,4.83,4.83,9.66,1.9,4.83,4.83,0.95,0.95,1,96.67,100.0,100.0,96.67,1.6820680098274972e-17,0.7672306732546407,-0.8769262794611065,-0.7061899041048363,-0.5653744267568324,0.506996596506937,0.571216432347864,0.4455496798541054,-0.19139904772341665,0.19139904772341665,1.6820680098274972e-17,-0.6337441348768,-0.6337441348767976,0.5390992561963611,0.5390992561963616,0.004328349052394191,0.40679715588414217,0.49017337189621596,0.07491446194519774,0,1,0,0.5435387149648587,4277.75
3027,15,148,7,5_caramello.png,1.1,13_fruit_pastilles.png,1.1,0,11705,84,1911,2.0,-2937,5711,2774,3,1,0.0,-3.1811678572538222e-18,0.0,-1.0099675719962566,-0.2991288784434634,4.615669994917464,0.0,5.0,5.0,10.0,2.2,5.0,5.0,1.1,1.1,1,100.0,100.0,100.0,100.0,1.6820680098274972e-17,0.8976381531279507,-0.3836552472642352,-0.3453263619079001,-0.2117084082816622,0.6001659557425161,0.6615273307427839,0.4455496798541054,-3.8031749144595097,3.8031749144595097,1.6820680098274972e-17,-0.2772630590085996,-0.2772630590085971,0.6307308578161401,0.6307308578161405,0.4901733718962258,0.40679715588414217,0.49017337189621596,0.4067971558841398,0,1,0,1.024427583573381,3248.75
3028,15,149,8,48_mentos_mint.png,0.65,112_lindt_extra_creamy.png,1.1,0,1701,94,4195,2.0,-699,1138,439,1,1,0.4500000000000001,0.7736421443326911,0.4500000000000001,0.08959389751579684,0.489782449319516,-0.7033853413966643,4.75,0.08,4.83,4.91,1.75,0.08,4.83,0.65,1.1,1,100.0,100.0,91.67,100.0,1.79914820478935,-1.05463853085778,-1.1235617955595418,-1.427916988498708,-0.2117084082816622,-2.096264911546009,0.571216432347864,-0.8274494054433382,-1.0434772737099791,1.0434772737099791,1.79914820478935,-1.3467062866132,-0.2772630590085971,-2.021195494944523,0.5390992561963616,0.4901733718962258,0.40679715588414217,-0.7251686822446618,0.4067971558841398,1,0,0,1.0766901777070514,2087.25
3029,15,150,12,2_maynards_winegums.png,0.8,109_kp_roast.png,1.55,0,4700,82,2202,2.0,-945,2103,1158,3,1,0.75,1.2894035738878182,0.75,0.8226348771904989,-0.4569111439960593,0.8911615352132984,1.0,3.83,4.83,8.66,2.35,3.83,4.83,0.8,1.55,1,91.67,81.67,96.67,96.67,0.37876804311354734,0.3836792618625521,-0.1370197311657999,-1.067053446301772,0.8492896471438474,-0.04105845781999908,0.571216432347864,0.4455496798541054,-1.3468220545966567,1.3468220545966567,0.37876804311354734,-0.9902252107449999,0.7921801685960035,8.983490354340727e-05,0.5390992561963616,-0.7251686822446506,-1.4200526278698529,0.004328349052383829,0.07491446194519774,0,1,0,0.7345028640490282,3780.75
3030,15,151,35,57_food_doctor_mild_korma_crisps.png,1.1,103_nakd_berry.png,0.95,1,2951,74,1444,2.0,366,1030,1396,0,2,-0.15000000000000013,-0.25788071477756386,0.15000000000000013,-0.6434470821589052,-1.088040206206443,-0.03876927078564284,-4.5,4.83,0.33,5.16,2.05,0.33,4.83,0.95,1.1,1,96.67,96.67,100.0,96.67,-1.704456194010963,-0.958750678009758,-0.6302907633626712,-0.7061899041048363,-0.2117084082816622,-1.9592511479642751,0.571216432347864,-1.46394894809206,0.2697836679335649,0.2697836679335649,1.704456194010963,-0.2772630590085996,-0.6337441348767976,0.5390992561963611,-1.886443139621318,0.004328349052394191,0.07491446194520049,0.49017337189621596,0.07491446194519774,0,0,1,0.7924513943649629,1649.0
