,betas,ci0,ci1,df,n,predictors,pvals,r2,se,tvals
const,0.18699990270085218,0.08671880486892682,0.28728100053277755,29.0,31.0,const,0.0006615779337935879,0.4599668147468683,0.04903170566575365,3.8138567720980356
glam_full_L,0.6829744505685199,0.4019173826876322,0.9640315184494076,29.0,31.0,glam_full_L,2.7576116272001086e-05,0.4599668147468683,0.137420787422096,4.969950059089123
