,betas,ci0,ci1,df,n,predictors,pvals,r2,se,tvals
const,0.11934279576514223,-0.05269320754989801,0.2913787990801825,29.0,31.0,const,0.1666182211012662,0.625186161038447,0.08411573926517432,1.418792687405562
glam_full_D,0.8459561620466332,0.597188417562768,1.0947239065304983,29.0,31.0,glam_full_D,1.2057824314697834e-07,0.625186161038447,0.12163316009074548,6.954979722762281
