,betas,ci0,ci1,df,n,predictors,pvals,r2,se,tvals
const,0.16050339645265488,0.0012645608501922756,0.3197422320551175,29.0,31.0,const,0.048322918426731754,0.6476951610040607,0.07785865817806807,2.061471391987936
glam_full_L,0.8066847172443508,0.5807302735432984,1.032639160945403,29.0,31.0,glam_full_L,4.833934752224885e-08,0.6476951610040607,0.11047876436282919,7.301717410552081
