,predictors,tvals,pvals,betas,se,ci0,ci1,df,n,r2
const,const,11.194046892859584,4.81069090965237e-12,0.3973945741785496,0.0355005279129247,0.3247878421796766,0.47000130617742264,29.0,31.0,0.2106092570762762
glam_nobias,glam_nobias,-2.7815810081199914,0.00940931224889212,-5.878808950750658,2.1134775272009834,-10.201355837363435,-1.556262064137881,29.0,31.0,0.2106092570762762
