,betas,ci0,ci1,df,n,predictors,pvals,r2,se,tvals
const,-383.94004200635527,-750.5112616731585,-17.36882233955197,31.0,33.0,const,0.04067080233436365,0.914369482608764,179.734642257198,-2.136149365445877
glam_full,1.2043082068584807,1.069307266218522,1.3393091474984395,31.0,33.0,glam_full,4.233650117043686e-18,0.914369482608764,0.06619271909115897,18.193967907556985
