,betas,ci0,ci1,df,n,predictors,pvals,r2,se,tvals
const,0.12411150286605196,-0.006262456160754881,0.2544854618928588,29.0,31.0,const,0.061279215326596324,0.4025869660994579,0.06374538894852749,1.946987929844907
glam_full_D,0.6409576917895945,0.3444199781669526,0.9374954054122364,29.0,31.0,glam_full_D,0.0001263845473984401,0.4025869660994579,0.1449899353665838,4.4207047211176125
