,betas,ci0,ci1,df,n,predictors,pvals,r2,se,tvals
const,0.046356457875840335,-0.07392420002320033,0.166637115774881,31.0,33.0,const,0.43781523452509896,0.5977511715917114,0.058975172785236174,0.7860334389294946
glam_full,0.9216000845474499,0.6446666398004941,1.1985335292944057,31.0,33.0,glam_full,1.3356649491916065e-07,0.5977511715917114,0.13578407400856626,6.787247262070724
