,betas,ci0,ci1,df,n,predictors,pvals,r2,se,tvals
const,108.5651330637179,-407.5657851165313,624.6960512439671,29.0,31.0,const,0.6702288008995688,0.8112403624379374,252.35841860870138,0.4302021452751905
glam_full_L,1.0120091273438552,0.8266101641388525,1.197408090548858,29.0,31.0,glam_full_L,5.127442408770255e-12,0.8112403624379374,0.09064946027854083,11.163984035141851
