,betas,ci0,ci1,df,n,predictors,pvals,r2,se,tvals
const,0.04421072972343015,-0.1385662003434336,0.2269876597902939,31.0,33.0,const,0.6252600295207023,0.6262430909146339,0.08961790881536483,0.49332471944324485
glam_full,0.9549704830020118,0.6847247687580182,1.2252161972460054,31.0,33.0,glam_full,4.187664119275454e-08,0.6262430909146339,0.13250499265964022,7.207052835020359
