,subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1
0,1,0,2009,0,1.1,0.95,0.5683962264150944,0.43160377358490565
1,1,1,3371,0,2.0,1.7,0.7623318385650224,0.23766816143497757
2,1,2,1700,1,1.1,2.3,0.44680851063829785,0.5531914893617021
3,1,3,7466,1,1.25,1.4,0.5323521244098861,0.46764787559011384
4,1,4,1889,1,2.0,2.3,0.5297363580625383,0.4702636419374617
5,1,5,2227,1,1.7,1.85,0.37052856380138816,0.6294714361986119
6,1,6,4259,0,1.85,0.65,0.4822536609580541,0.5177463390419459
7,1,7,3505,0,1.55,0.8,0.6707391569945022,0.32926084300549785
8,1,8,2548,0,1.55,1.1,0.5284974093264249,0.47150259067357514
9,1,9,3226,1,1.1,2.0,0.5815789473684211,0.41842105263157897
10,1,10,4604,0,1.85,1.1,0.5377553362405325,0.46224466375946754
11,1,11,6333,0,0.95,2.0,0.6398555482600131,0.3601444517399869
12,1,12,5716,0,0.95,0.8,0.5846656976744186,0.4153343023255814
13,1,13,3562,0,2.0,1.1,0.7165259348612787,0.28347406513872137
14,1,14,2447,0,1.85,1.1,0.5860215053763441,0.41397849462365593
15,1,15,2120,1,1.25,1.85,0.3560486001056524,0.6439513998943476
16,1,16,6932,1,2.0,2.0,0.5853131749460043,0.4146868250539957
17,1,17,4274,1,1.25,1.7,0.4338055691255496,0.5661944308744504
18,1,18,6854,0,1.7,1.4,0.5914919294011163,0.40850807059888367
19,1,19,6698,0,1.1,1.1,0.6680061823802164,0.33199381761978364
20,1,20,2913,0,1.1,0.95,0.5531355613969208,0.44686443860307923
21,1,21,4513,0,1.7,1.55,0.6544186046511627,0.3455813953488372
22,1,22,2110,1,1.85,2.0,0.3732744340143567,0.6267255659856433
23,1,23,3385,0,1.7,1.4,0.5535257581293387,0.4464742418706613
24,1,24,2456,1,1.4,2.0,0.34350797266514804,0.6564920273348519
25,1,25,2136,0,1.85,1.7,0.5540326831839747,0.4459673168160253
26,1,26,7010,1,1.1,1.55,0.4728877679697352,0.5271122320302648
27,1,27,4784,0,0.95,0.65,0.4202386212991604,0.5797613787008395
